ID,Date,Category,Sales,Profit,Units Sold,Customer Satisfaction,Marketing Spend
1,2023-06-26,Category 19,7364,1501,380,3.6555162168758226,1796
2,2023-01-22,Category 5,5560,2954,411,6.4838034311279635,2605
3,2023-01-07,Category 13,16678,2496,240,7.115015202518422,123
4,2023-08-22,Category 13,8300,3813,49,6.9391317903400465,2512
5,2023-10-21,Category 5,19233,3422,271,8.956946421476784,583
6,2023-07-23,Category 11,4787,3969,278,8.203653594990133,2070
7,2023-05-17,Category 5,19980,4161,197,7.79587331618833,1133
8,2023-04-12,Category 2,7951,556,29,3.6368167118479846,2225
9,2023-03-12,Category 16,6187,3071,430,2.498794249712076,619
10,2023-02-17,Category 1,7242,1543,296,4.312962529506393,469
11,2023-05-02,Category 4,1822,1157,448,3.653474266627264,1365
12,2023-09-11,Category 15,2372,1528,439,4.277188149278788,716
13,2023-06-06,Category 4,19574,939,362,4.943331326912018,2736
14,2023-06-16,Category 8,13626,1199,444,4.619430227475359,273
15,2023-08-27,Category 1,9249,3254,153,7.067096988093206,964
16,2023-08-04,Category 1,3194,4494,416,6.994210095355151,1291
17,2023-05-16,Category 19,2753,3993,437,1.7427253979114814,2388
18,2023-01-11,Category 10,6048,2305,309,9.207934754315135,2366
19,2023-02-03,Category 17,12458,4004,96,6.846210610468652,2097
20,2023-02-15,Category 12,3528,3366,453,6.02475904120442,923
